No.,Channel Type,Channel Alias,Rx Frequency,Tx Frequency,Tx Power,TOT,VOX,VOX Level,Scan Add/Step,Channel Work Alone,Default to Talkaround,Band Width,Dec QT/DQT,Enc QT/DQT,Tx Authority,Relay,Work Mode,Slot,ID Setting,Color Code,Encryption,Encryption Type,Encryption Key,Promiscuous,Tx Authority,Kill Code,WakeUp Code,Contacts,Rx Group Lists,Group Lists 1,Group Lists 2,Group Lists 3,Group Lists 4,Group Lists 5,Group Lists 6,Group Lists 7,Group Lists 8,Group Lists 9,Group Lists 10,Group Lists 11,Group Lists 12,Group Lists 13,Group Lists 14,Group Lists 15,Group Lists 16,Group Lists 17,Group Lists 18,Group Lists 19,Group Lists 20,Group Lists 21,Group Lists 22,Group Lists 23,Group Lists 24,Group Lists 25,Group Lists 26,Group Lists 27,Group Lists 28,Group Lists 29,Group Lists 30,Group Lists 31,Group Lists 32,Group Lists 33,GPS,Send GPS Info,Receive GPS Info,GPS Timing Report,GPS Timing Report TX Contacts
VFO-A,Analog CH,2M Call SMPLX,146.52,146.52,Mid,300S,No,1,25K,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,KD5HIY - Chris,0,No,Normal Mode,1,No,Always,None,,None,Custom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
VFO-B,Analog CH,440 Call SMPLX,446,446,Mid,300S,No,1,25K,No,No,25K,None,None,Allow TX,No,Simplex,Slot1,KD5YIZ - Carrie,0,No,Normal Mode,1,No,Always,None,,None,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: Chicago 1,Priority Contacts: SE Texas EmComm,Priority Contacts: BM South Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,OFF,TX Contact
1,Digital CH,A.Metro,440.6375,445.6375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY - Chris,1,No,Normal Mode,1,Yes,Always,None,None,Priority Contacts: Metro,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: Chicago 1,Priority Contacts: SE Texas EmComm,Priority Contacts: BM South Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact
2,Digital CH,A.Statewide,440.6375,445.6375,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY - Chris,1,No,Normal Mode,1,Yes,Always,None,None,Priority Contacts: Texas,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: Chicago 1,Priority Contacts: SE Texas EmComm,Priority Contacts: BM South Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact
40,Digital CH,A.WW,442.5,447.5,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY - Chris,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Worldwide,Priority Contacts: Worldwide,Priority Contacts: Worldwide Eng.,Priority Contacts: UA English 1,Priority Contacts: UA English 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: TAC319,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact
41,Digital CH,A.NA,442.5,447.5,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY - Chris,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Worldwide,Priority Contacts: Worldwide,Priority Contacts: Worldwide Eng.,Priority Contacts: UA English 1,Priority Contacts: UA English 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: TAC319,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact
42,Digital CH,A.S.Plains,442.5,447.5,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY - Chris,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Worldwide,Priority Contacts: Worldwide,Priority Contacts: Worldwide Eng.,Priority Contacts: UA English 1,Priority Contacts: UA English 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: TAC319,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact
43,Digital CH,A.Cactus,442.5,447.5,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY - Chris,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Worldwide,Worldwide,Priority Contacts: Worldwide,Priority Contacts: Worldwide Eng.,Priority Contacts: UA English 1,Priority Contacts: UA English 2,Priority Contacts: TAC310,Priority Contacts: TAC311,Priority Contacts: TAC312,Priority Contacts: TAC313,Priority Contacts: TAC314,Priority Contacts: TAC315,Priority Contacts: TAC316,Priority Contacts: TAC317,Priority Contacts: TAC318,Priority Contacts: TAC319,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact
3,Digital CH,B.Local,443.4,448.4,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot1,KD5HIY - Chris,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Local,Local,Priority Contacts: Local,Priority Contacts: Metro,Priority Contacts: DMR Simplex,Priority Contacts: Chicago 2,Priority Contacts: Chicago 1,Priority Contacts: SE Texas EmComm,Priority Contacts: BM South Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact
27,Digital CH,C. MW Regional,443.2625,448.2625,Mid,300S,No,1,Yes,No,No,25K,None,None,Allow TX,No,Repeat,Slot2,KD5HIY - Chris,1,No,Normal Mode,1,No,Always,None,None,Priority Contacts: Midwest Regional,Regional,Priority Contacts: Midwest Regional,Priority Contacts: Northeast Region,Priority Contacts: Southeast Region,Priority Contacts: Southern Plains,Priority Contacts: Southern Plains,Priority Contacts: Southwest Region,Priority Contacts: Mountain Regiona,Priority Contacts: TRBO6 Comm1,Priority Contacts: TRBO6 Comm2,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,OFF,TX Contact
